0,1,2,3,4,5
0.914972874321858,0.915,0.9354804354804355,0.9355,0.932143776207407,0.9325
0.914972874321858,0.915,0.936981936981937,0.937,0.9323799820488562,0.93275
0.914972874321858,0.915,0.9354804354804355,0.9355,0.9323984883826489,0.93275
0.9174854371359284,0.9175,0.9364814364814363,0.9365,0.9314073991823701,0.93175
0.9174854371359284,0.9175,0.9369809369809369,0.937,0.9314073991823701,0.93175
0.9124853121328034,0.9125,0.9364804364804364,0.9365,0.9316528581907157,0.932
0.9124853121328034,0.9125,0.937979937979938,0.938,0.9316621113576121,0.932
0.9174854371359284,0.9175,0.9384814384814385,0.9385,0.9323892352157526,0.93275
0.9149978749468738,0.915,0.9379819379819381,0.938,0.9331533717414785,0.9335
0.9149978749468738,0.915,0.9374814374814375,0.9375,0.9318983171990614,0.93225
0.9174854371359284,0.9175,0.9384814384814385,0.9385,0.9321530293743033,0.9325
0.9174854371359284,0.9175,0.9374834374834375,0.9375,0.9324077415495453,0.93275
0.9149978749468738,0.915,0.9374814374814375,0.9375,0.9313981460154738,0.93175
0.9149978749468738,0.915,0.937980937980938,0.938,0.9316528581907157,0.932
0.9149978749468738,0.915,0.9384824384824386,0.9385,0.9321530293743033,0.9325
0.914972874321858,0.915,0.936981936981937,0.937,0.9324077415495453,0.93275
0.9149978749468738,0.915,0.936981936981937,0.937,0.9326439473909945,0.933
0.9149978749468738,0.915,0.9374824374824375,0.9375,0.9323984883826489,0.93275
0.9149978749468738,0.915,0.9374814374814375,0.9375,0.9323892352157526,0.93275
0.9124853121328034,0.9125,0.9374814374814375,0.9375,0.9324169947164417,0.93275
0.9149978749468738,0.915,0.937980937980938,0.938,0.9309072279987826,0.93125
0.9174854371359284,0.9175,0.9364824364824365,0.9365,0.932143776207407,0.9325
0.9125103127578188,0.9125,0.936982936982937,0.937,0.9329079127331328,0.93325
0.914972874321858,0.915,0.936981936981937,0.937,0.9324077415495453,0.93275
0.9174854371359284,0.9175,0.936981936981937,0.937,0.9326624537247873,0.933
0.9125103127578188,0.9125,0.9354834354834354,0.9355,0.9329171659000293,0.93325
0.9174854371359284,0.9175,0.9364814364814363,0.9365,0.9311619401740244,0.9315
0.9174854371359284,0.9175,0.9359819359819359,0.936,0.9321715357080961,0.9325
0.914972874321858,0.915,0.9359819359819359,0.936,0.9309072279987826,0.93125
0.9125103127578188,0.9125,0.9354804354804355,0.9355,0.9323984883826489,0.93275
0.9174854371359284,0.9175,0.934981934981935,0.935,0.9316528581907157,0.932
0.9124853121328034,0.9125,0.9354814354814355,0.9355,0.931889064032165,0.93225
0.9125103127578188,0.9125,0.9354814354814355,0.9355,0.931889064032165,0.93225
0.9174854371359284,0.9175,0.9359819359819359,0.936,0.9316436050238194,0.932
0.9125103127578188,0.9125,0.9354814354814355,0.9355,0.9316436050238194,0.932
0.9174854371359284,0.9175,0.9354814354814355,0.9355,0.931889064032165,0.93225
0.9149978749468738,0.915,0.9364824364824365,0.9365,0.931889064032165,0.93225
0.9125103127578188,0.9125,0.9359829359829359,0.936,0.9318983171990614,0.93225
0.9124853121328034,0.9125,0.934981934981935,0.935,0.931889064032165,0.93225
0.914972874321858,0.915,0.9344814344814346,0.9345,0.9313888928485774,0.93175
0.9124853121328034,0.9125,0.9344814344814346,0.9345,0.9311434338402318,0.9315
0.9099977499437486,0.91,0.9344814344814346,0.9345,0.931634351856923,0.932
0.914972874321858,0.915,0.934980934980935,0.935,0.9316436050238194,0.932
0.9099977499437486,0.91,0.9334814334814334,0.9335,0.9294252207818126,0.92975
0.914972874321858,0.915,0.9359829359829359,0.936,0.9316250986900266,0.932
0.9149978749468738,0.915,0.9349829349829348,0.935,0.9316250986900266,0.932
0.9149978749468738,0.915,0.9339819339819341,0.934,0.9316250986900266,0.932
0.9149978749468738,0.915,0.9354834354834354,0.9355,0.9316250986900266,0.932
0.9149978749468738,0.915,0.9339819339819341,0.934,0.9323892352157526,0.93275
0.9174854371359284,0.9175,0.934983934983935,0.935,0.9321345230405105,0.9325
0.9149978749468738,0.915,0.9344824344824344,0.9345,0.9323892352157526,0.93275
0.9124853121328034,0.9125,0.9344824344824344,0.9345,0.9323892352157526,0.93275
0.9174854371359284,0.9175,0.9359819359819359,0.936,0.931634351856923,0.932
0.9149978749468738,0.915,0.934981934981935,0.935,0.9321345230405105,0.9325
0.9124853121328034,0.9125,0.934981934981935,0.935,0.932143776207407,0.9325
0.9149978749468738,0.915,0.9364834364834366,0.9365,0.9316436050238194,0.932
0.9174854371359284,0.9175,0.9344834344834344,0.9345,0.9321345230405105,0.9325
0.914972874321858,0.915,0.9344824344824344,0.9345,0.9318798108652686,0.93225
0.9174854371359284,0.9175,0.9349829349829348,0.935,0.9316250986900266,0.932
0.9174854371359284,0.9175,0.9349829349829348,0.935,0.931634351856923,0.932
0.9174854371359284,0.9175,0.9344834344834344,0.9345,0.932143776207407,0.9325
0.9174854371359284,0.9175,0.934981934981935,0.935,0.9318798108652686,0.93225
0.914972874321858,0.915,0.9349829349829348,0.935,0.9321345230405105,0.9325
0.9174854371359284,0.9175,0.9349829349829348,0.935,0.931889064032165,0.93225
0.914972874321858,0.915,0.9344834344834344,0.9345,0.9323984883826489,0.93275
0.9124853121328034,0.9125,0.9354824354824354,0.9355,0.931889064032165,0.93225
0.914972874321858,0.915,0.9344824344824344,0.9345,0.931379639681681,0.93175
0.9124853121328034,0.9125,0.9349829349829348,0.935,0.9321345230405105,0.9325
0.9149978749468738,0.915,0.9349829349829348,0.935,0.931634351856923,0.932
0.914972874321858,0.915,0.9349829349829348,0.935,0.9321345230405105,0.9325
0.9124853121328034,0.9125,0.9344814344814346,0.9345,0.9326439473909945,0.933
0.914972874321858,0.915,0.934981934981935,0.935,0.9326439473909945,0.933
0.9174604365109128,0.9175,0.934981934981935,0.935,0.9326439473909945,0.933
0.914972874321858,0.915,0.9344824344824344,0.9345,0.9326439473909945,0.933
0.9124603115077877,0.9125,0.935983935983936,0.936,0.9323984883826489,0.93275
0.914972874321858,0.915,0.9359829359829359,0.936,0.9318983171990614,0.93225
0.914972874321858,0.915,0.9359829359829359,0.936,0.9323984883826489,0.93275
0.914972874321858,0.915,0.9354824354824354,0.9355,0.9316528581907157,0.932
0.9174604365109128,0.9175,0.9349829349829348,0.935,0.9328986595662364,0.93325
0.914972874321858,0.915,0.9354824354824354,0.9355,0.9318983171990614,0.93225
0.914972874321858,0.915,0.934980934980935,0.935,0.9316528581907157,0.932
0.914972874321858,0.915,0.9359819359819359,0.936,0.9318983171990614,0.93225
0.9124853121328034,0.9125,0.9354814354814355,0.9355,0.9316436050238194,0.932
0.914972874321858,0.915,0.9359819359819359,0.936,0.9318983171990614,0.93225
0.9124853121328034,0.9125,0.9359829359829359,0.936,0.9318983171990614,0.93225
0.9074851871296782,0.9075,0.9354814354814355,0.9355,0.9313981460154738,0.93175
0.9099977499437486,0.91,0.9354814354814355,0.9355,0.931889064032165,0.93225
0.914972874321858,0.915,0.9359819359819359,0.936,0.9318983171990614,0.93225
0.909972749318733,0.91,0.9354814354814355,0.9355,0.9316436050238194,0.932
0.914972874321858,0.915,0.934981934981935,0.935,0.9321345230405105,0.9325
0.9124853121328034,0.9125,0.9354814354814355,0.9355,0.931889064032165,0.93225
0.9074851871296782,0.9075,0.9354824354824354,0.9355,0.9323799820488562,0.93275
